id,file,date,algorithm,initialization,centroids (k),fuzzy weight (m),stopping_criterion,init_time,algorithm_time,iteration
TEST01,data/affitti30.csv,2020/06/11 02:19:17,fuzzy-cmeans,random,3,3,biggest-diff,0.00018453598022460938,44.945892572402954,13
TEST01,data/affitti30.csv,2020/06/11 02:20:34,fuzzy-cmeans,random,3,2,biggest-diff,0.00018453598022460938,76.35303521156311,22
TEST01,data/affitti30.csv,2020/06/11 02:23:46,fuzzy-cmeans,step,3,1.5,biggest-diff,2.9447622299194336,121.33369207382202,35
TEST01,data/affitti30.csv,2020/06/11 02:24:28,fuzzy-cmeans,step,3,3,biggest-diff,2.9447622299194336,41.67361760139465,12
TEST01,data/affitti30.csv,2020/06/11 02:25:44,fuzzy-cmeans,step,3,2,biggest-diff,2.9447622299194336,76.17925691604614,22
TEST01,data/affitti30.csv,2020/06/11 02:33:34,kmeans,random,4,-,biggest-diff,0.00018930435180664062,93.14927101135254,28
TEST01,data/affitti30.csv,2020/06/11 02:36:27,fuzzy-cmeans,random,4,1.5,biggest-diff,0.00018930435180664062,173.63941740989685,45
TEST01,data/affitti30.csv,2020/06/11 02:37:18,fuzzy-cmeans,random,4,3,biggest-diff,0.00018930435180664062,50.81973218917847,13
TEST01,data/affitti30.csv,2020/06/11 02:38:47,fuzzy-cmeans,random,4,2,biggest-diff,0.00018930435180664062,89.1508846282959,23
TEST01,data/affitti30.csv,2020/06/11 02:42:33,fuzzy-cmeans,step,4,1.5,biggest-diff,2.941995859146118,189.8558111190796,49
TEST01,data/affitti30.csv,2020/06/11 02:43:21,fuzzy-cmeans,step,4,3,biggest-diff,2.941995859146118,47.375386238098145,12
TEST01,data/affitti30.csv,2020/06/11 02:44:45,fuzzy-cmeans,step,4,2,biggest-diff,2.941995859146118,84.45549964904785,22
TEST01,data/affitti30.csv,2020/06/11 02:55:21,kmeans,random,5,-,biggest-diff,0.000148773193359375,167.08815836906433,50*
TEST01,data/affitti30.csv,2020/06/11 02:58:53,fuzzy-cmeans,random,5,1.5,biggest-diff,0.000148773193359375,212.31722617149353,50*
TEST01,data/affitti30.csv,2020/06/11 02:59:48,fuzzy-cmeans,random,5,3,biggest-diff,0.000148773193359375,55.5890166759491,13
TEST01,data/affitti30.csv,2020/06/11 03:01:31,fuzzy-cmeans,random,5,2,biggest-diff,0.000148773193359375,102.50550985336304,24
TEST01,data/affitti30.csv,2020/06/11 03:07:49,fuzzy-cmeans,step,5,1.5,biggest-diff,3.0896472930908203,213.03690600395203,50*
TEST01,data/affitti30.csv,2020/06/11 03:08:40,fuzzy-cmeans,step,5,3,biggest-diff,3.0896472930908203,51.04766607284546,12
TEST01,data/affitti30.csv,2020/06/11 03:10:18,fuzzy-cmeans,step,5,2,biggest-diff,3.0896472930908203,98.15078258514404,23
TEST01,data/affitti115.csv,2020/06/11 05:18:30,kmeans,random,3,-,biggest-diff,0.00019049644470214844,241.9312129020691,50*
TEST01,data/affitti115.csv,2020/06/11 05:24:19,fuzzy-cmeans,random,3,1.5,biggest-diff,0.00019049644470214844,348.3943543434143,39
TEST01,data/affitti115.csv,2020/06/11 05:26:16,fuzzy-cmeans,random,3,3,biggest-diff,0.00019049644470214844,117.07943439483643,13
TEST01,data/affitti115.csv,2020/06/11 05:29:41,fuzzy-cmeans,random,3,2,biggest-diff,0.00019049644470214844,205.12265467643738,23
TEST01,data/affitti115.csv,2020/06/11 05:36:35,fuzzy-cmeans,step,3,1.5,biggest-diff,3.903571605682373,303.7780930995941,34
TEST01,data/affitti115.csv,2020/06/11 05:38:22,fuzzy-cmeans,step,3,3,biggest-diff,3.903571605682373,107.93666911125183,12
TEST01,data/affitti115.csv,2020/06/11 05:41:39,fuzzy-cmeans,step,3,2,biggest-diff,3.903571605682373,196.52459931373596,22
TEST01,data/affitti115.csv,2020/06/11 05:59:55,kmeans,random,4,-,biggest-diff,0.00021982192993164062,194.07787895202637,39
TEST01,data/affitti115.csv,2020/06/11 06:08:39,fuzzy-cmeans,random,4,1.5,biggest-diff,0.00021982192993164062,524.3292605876923,50*
TEST01,data/affitti115.csv,2020/06/11 06:11:08,fuzzy-cmeans,random,4,3,biggest-diff,0.00021982192993164062,149.07523155212402,14
TEST01,data/affitti115.csv,2020/06/11 06:15:14,fuzzy-cmeans,random,4,2,biggest-diff,0.00021982192993164062,245.74947810173035,23
TEST01,data/affitti115.csv,2020/06/11 06:25:25,fuzzy-cmeans,step,4,1.5,biggest-diff,3.9015376567840576,519.9765675067902,49
TEST01,data/affitti115.csv,2020/06/11 06:27:38,fuzzy-cmeans,step,4,3,biggest-diff,3.9015376567840576,133.33951926231384,12
TEST01,data/affitti115.csv,2020/06/11 06:31:32,fuzzy-cmeans,step,4,2,biggest-diff,3.9015376567840576,233.10977911949158,22
TEST01,data/affitti115.csv,2020/06/11 06:55:31,kmeans,random,5,-,biggest-diff,0.00018024444580078125,257.59444189071655,50*
TEST01,data/affitti115.csv,2020/06/11 07:05:36,fuzzy-cmeans,random,5,1.5,biggest-diff,0.00018024444580078125,605.3409941196442,50*
TEST01,data/affitti115.csv,2020/06/11 07:08:27,fuzzy-cmeans,random,5,3,biggest-diff,0.00018024444580078125,171.3734815120697,14
TEST01,data/affitti115.csv,2020/06/11 07:13:29,fuzzy-cmeans,random,5,2,biggest-diff,0.00018024444580078125,302.0205898284912,25
TEST01,data/affitti115.csv,2020/06/11 07:24:05,fuzzy-cmeans,step,5,1.5,biggest-diff,3.901339054107666,621.6024494171143,50*
TEST01,data/affitti115.csv,2020/06/11 07:26:40,fuzzy-cmeans,step,5,3,biggest-diff,3.901339054107666,155.01939296722412,12
TEST01,data/affitti115.csv,2020/06/11 07:31:49,fuzzy-cmeans,step,5,2,biggest-diff,3.901339054107666,309.1680624485016,24
TEST01,data/affitti15.csv,2020/06/12 04:59:24,kmeans,random,3,-,biggest-diff,0.00019240379333496094,86.43367052078247,29
TEST01,data/affitti15.csv,2020/06/13 01:05:46,fuzzy-cmeans,random,3,1.5,biggest-diff,0.08762598037719727,126.93343019485474,50*
TEST01,data/affitti15.csv,2020/06/13 01:06:29,fuzzy-cmeans,random,3,3,biggest-diff,0.08762598037719727,42.97492218017578,17
